trial_type,utt_id,token,baseline_audio_filename,candidate_audio_filename
pair,35886827_3_12_1,ea7a,35886827_3_12_1__5663.wav,35886827_3_12_1__ea7a.wav
pair,35886827_3_12_1,cbbd,35886827_3_12_1__5663.wav,35886827_3_12_1__cbbd.wav
pair,35886827_3_12_1,2c50,35886827_3_12_1__5663.wav,35886827_3_12_1__2c50.wav
pair,35886827_3_12_1,3121,35886827_3_12_1__5663.wav,35886827_3_12_1__3121.wav
pair,35886827_3_15,ea7a,35886827_3_15__5663.wav,35886827_3_15__ea7a.wav
pair,35886827_3_15,cbbd,35886827_3_15__5663.wav,35886827_3_15__cbbd.wav
pair,35886827_3_15,2c50,35886827_3_15__5663.wav,35886827_3_15__2c50.wav
pair,35886827_3_15,3121,35886827_3_15__5663.wav,35886827_3_15__3121.wav
pair,manual_01,ea7a,manual_01__5663.wav,manual_01__ea7a.wav
pair,manual_01,cbbd,manual_01__5663.wav,manual_01__cbbd.wav
pair,manual_01,2c50,manual_01__5663.wav,manual_01__2c50.wav
pair,manual_01,3121,manual_01__5663.wav,manual_01__3121.wav
pair,manual_02,ea7a,manual_02__5663.wav,manual_02__ea7a.wav
pair,manual_02,cbbd,manual_02__5663.wav,manual_02__cbbd.wav
pair,manual_02,2c50,manual_02__5663.wav,manual_02__2c50.wav
pair,manual_02,3121,manual_02__5663.wav,manual_02__3121.wav
pair,thai_test_0000,ea7a,thai_test_0000__5663.wav,thai_test_0000__ea7a.wav
pair,thai_test_0000,cbbd,thai_test_0000__5663.wav,thai_test_0000__cbbd.wav
pair,thai_test_0000,2c50,thai_test_0000__5663.wav,thai_test_0000__2c50.wav
pair,thai_test_0000,3121,thai_test_0000__5663.wav,thai_test_0000__3121.wav
pair,thai_test_0002,ea7a,thai_test_0002__5663.wav,thai_test_0002__ea7a.wav
pair,thai_test_0002,cbbd,thai_test_0002__5663.wav,thai_test_0002__cbbd.wav
pair,thai_test_0002,2c50,thai_test_0002__5663.wav,thai_test_0002__2c50.wav
pair,thai_test_0002,3121,thai_test_0002__5663.wav,thai_test_0002__3121.wav
pair,tsync1_1_102_189_7,ea7a,tsync1_1_102_189_7__5663.wav,tsync1_1_102_189_7__ea7a.wav
pair,tsync1_1_102_189_7,cbbd,tsync1_1_102_189_7__5663.wav,tsync1_1_102_189_7__cbbd.wav
pair,tsync1_1_102_189_7,2c50,tsync1_1_102_189_7__5663.wav,tsync1_1_102_189_7__2c50.wav
pair,tsync1_1_102_189_7,3121,tsync1_1_102_189_7__5663.wav,tsync1_1_102_189_7__3121.wav
pair,tsync1_1_109_26_1,ea7a,tsync1_1_109_26_1__5663.wav,tsync1_1_109_26_1__ea7a.wav
pair,tsync1_1_109_26_1,cbbd,tsync1_1_109_26_1__5663.wav,tsync1_1_109_26_1__cbbd.wav
pair,tsync1_1_109_26_1,2c50,tsync1_1_109_26_1__5663.wav,tsync1_1_109_26_1__2c50.wav
pair,tsync1_1_109_26_1,3121,tsync1_1_109_26_1__5663.wav,tsync1_1_109_26_1__3121.wav
pair,tsync2_0_250,ea7a,tsync2_0_250__5663.wav,tsync2_0_250__ea7a.wav
pair,tsync2_0_250,cbbd,tsync2_0_250__5663.wav,tsync2_0_250__cbbd.wav
pair,tsync2_0_250,2c50,tsync2_0_250__5663.wav,tsync2_0_250__2c50.wav
pair,tsync2_0_250,3121,tsync2_0_250__5663.wav,tsync2_0_250__3121.wav
pair,tsync2_1943_6063,ea7a,tsync2_1943_6063__5663.wav,tsync2_1943_6063__ea7a.wav
pair,tsync2_1943_6063,cbbd,tsync2_1943_6063__5663.wav,tsync2_1943_6063__cbbd.wav
pair,tsync2_1943_6063,2c50,tsync2_1943_6063__5663.wav,tsync2_1943_6063__2c50.wav
pair,tsync2_1943_6063,3121,tsync2_1943_6063__5663.wav,tsync2_1943_6063__3121.wav
solo,35886827_3_12_1,5663,35886827_3_12_1__5663.wav,
solo,35886827_3_15,5663,35886827_3_15__5663.wav,
solo,manual_01,5663,manual_01__5663.wav,
solo,manual_02,5663,manual_02__5663.wav,
solo,thai_test_0000,5663,thai_test_0000__5663.wav,
solo,thai_test_0002,5663,thai_test_0002__5663.wav,
solo,tsync1_1_102_189_7,5663,tsync1_1_102_189_7__5663.wav,
solo,tsync1_1_109_26_1,5663,tsync1_1_109_26_1__5663.wav,
solo,tsync2_0_250,5663,tsync2_0_250__5663.wav,
solo,tsync2_1943_6063,5663,tsync2_1943_6063__5663.wav,
